"user_id","age","gender","married","has_children","home_country","home_city","home_airport","home_airport_lat","home_airport_lon","sign_up_date","total_clicks","total_nights","total_rooms","avg_hotel_per_room_usd","avg_base_fare_usd","session_count","avg_session_duration_in_seconds","total_cancellation","total_flight_with_discount","total_hotel_with_discount","avg_flight_discount","avg_hotel_discount","con_rate_flights","con_rate_hotels","con_rate_combined","total_return_flight_booked","age_bucket","family_status","activity_level","cancellation_behavior","discount_usage_behavior","booking_type_preference","interaction_duration","loyalty_level","hotel_price_category","flight_fare_category","total_trips","total_flight_booked","total_hotel_booked","total_seats","money_spent_hotel","money_spent_filght","money_spent_booking","total_time_before_trip","miles_flown"
"152583","38","F","false","false","usa","colorado springs","COS","38.806","-104.7","2022-04-17","202","2","1","213.00","3202.50","10","296","1","2","3","0.15","0.15","0.30","0.20","0.50","3","36-50","Single With No Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Moderate Sessions","Occasional Traveler","Mid-Range","Luxury","1","2","1","1","426","367.83","793.83","8","2265.72"
"153982","46","F","false","true","canada","toronto","YKZ","43.862","-79.37","2022-04-19","253","30","6","234.83","825.79","11","482","1","1","2","","0.15","0.55","0.55","1.09","6","36-50","Single With Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Moderate Sessions","Frequent Traveler","Mid-Range","Mid-Range","4","8","4","4","1913","789.96","2702.96","39","4741.43"
"160754","46","F","true","true","usa","new york","LGA","40.777","-73.872","2022-04-26","294","2","1","214.00","3689.57","10","791","1","1","2","","0.10","0.30","0.20","0.50","3","36-50","Married With Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Moderate Sessions","Occasional Traveler","Mid-Range","Luxury","1","2","1","1","428","93.62","521.62","11","527.63"
"164522","49","F","true","false","usa","kansas city","MCI","39.297","-94.714","2022-04-30","139","13","1","233.00","2576.01","10","191","1","3","2","0.05","0.05","0.30","0.20","0.50","3","36-50","Married With No Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Short Sessions","Occasional Traveler","Mid-Range","Luxury","1","2","1","1","3029","311.9040","3340.9040","8","1807.65"
"167852","18","F","false","false","usa","tampa","MCF","27.849","-82.521","2022-05-03","139","","","","","13","79","0","3","4","0.10","0.10","0.00","0.00","0.00","0","17-25","Single With No Children","High Activity","No Flights Booked","Frequent Discount User","No Bookings","Short Sessions","No Bookings","Unknown","Unknown","","","","","","","","",""
"171470","25","F","false","false","usa","atlanta","ATL","33.64","-84.427","2022-05-06","456","","","","4079.91","9","1646","2","3","2","0.10","","0.44","0.22","0.67","4","17-25","Single With No Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Long Sessions","Frequent Traveler","Unknown","Luxury","","","","","","","","",""
"174997","33","F","false","false","usa","grand rapids","GRR","42.881","-85.523","2022-05-10","267","4","2","112.00","1465.64","9","894","1","1","4","","0.10","0.44","0.33","0.78","4","26-35","Single With No Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Moderate Sessions","Frequent Traveler","Mid-Range","Luxury","2","4","2","2","448","590.43","1038.43","15","3076.55"
"175032","30","F","false","false","usa","houston","IAH","29.98","-95.34","2022-05-10","174","16","7","145.75","444.55","14","92","0","1","3","0.30","0.10","0.21","0.29","0.50","2","26-35","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","4","5","4","5","3691.80","1333.64","5025.44","18","5180.19"
"181157","54","F","true","false","usa","houston","HOU","29.645","-95.279","2022-05-15","378","30","8","139.40","1714.44","10","851","1","3","2","0.18","0.15","0.50","0.50","1.00","5","50+","Married With No Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Moderate Sessions","Frequent Traveler","Mid-Range","Luxury","3","6","3","6","4987.80","959.0255","5946.8255","16","3640.37"
"182191","20","F","false","true","usa","phoenix","PHX","33.434","-112.008","2022-05-16","161","","","","537.67","9","602","1","1","2","","0.10","0.22","0.11","0.33","2","17-25","Single With Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Moderate Sessions","Occasional Traveler","Unknown","Mid-Range","","","","","","","","",""
"187212","55","F","true","true","usa","los angeles","LAX","33.942","-118.408","2022-05-21","187","6","3","217.33","414.19","12","116","0","2","3","0.22","0.13","0.25","0.25","0.50","3","50+","Married With Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","3","6","3","3","904","1242.57","2146.57","24","7396.67"
"189676","36","F","false","true","usa","fort worth","FTW","32.82","-97.362","2022-05-23","312","18","4","180.50","463.26","10","803","1","3","1","0.18","","0.30","0.30","0.60","3","36-50","Single With Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Moderate Sessions","Frequent Traveler","Mid-Range","Mid-Range","2","2","2","3","5001","1244.31","6245.31","4","2350.54"
"190866","38","F","false","false","usa","tallahassee","TLH","30.396","-84.35","2022-05-24","444","47","8","133.13","964.13","12","752","1","1","2","","0.05","0.67","0.67","1.33","8","36-50","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Moderate Sessions","Frequent Traveler","Mid-Range","Mid-Range","6","12","6","6","1573","2738.55","4311.55","44","15805.13"
"195192","29","F","false","false","usa","chicago","MDW","41.786","-87.752","2022-05-28","351","9","6","278.00","326.10","13","200","0","1","1","0.10","0.10","0.31","0.31","0.62","4","26-35","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","4","8","4","6","3577","1304.41","4881.41","39","5025.42"
"204943","41","M","false","false","canada","ottawa","YOW","45.323","-75.669","2022-06-06","364","51","12","174.22","452.61","11","807","1","3","1","0.15","","0.91","0.82","1.73","10","36-50","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Moderate Sessions","Frequent Traveler","Mid-Range","Mid-Range","8","16","7","11","4100","3518.172","7618.172","55","14202.67"
"204997","39","F","true","false","usa","kansas city","MCI","39.297","-94.714","2022-06-06","475","28","7","196.20","1409.38","9","1273","2","3","4","0.25","0.10","0.67","0.56","1.22","6","36-50","Married With No Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Long Sessions","Frequent Traveler","Mid-Range","Luxury","2","4","1","2","284","488.47","772.47","14","2563.01"
"205044","41","F","true","true","canada","toronto","YKZ","43.862","-79.37","2022-06-06","402","27","13","192.67","1628.83","12","737","1","2","2","0.05","0.20","0.50","0.50","1.00","6","36-50","Married With Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Moderate Sessions","Frequent Traveler","Mid-Range","Luxury","4","8","4","7","5742.8","3254.6875","8997.4875","21","10509.00"
"206011","40","F","false","true","usa","kansas city","MCI","39.297","-94.714","2022-06-07","339","37","5","100.00","346.12","12","728","1","2","5","0.05","0.15","0.50","0.42","0.92","6","36-50","Single With Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Moderate Sessions","Frequent Traveler","Budget","Mid-Range","4","8","3","4","1138","1024.7720","2162.7720","22","5808.25"
"216796","23","F","false","false","usa","cincinnati","CVG","39.046","-84.662","2022-06-16","205","46","4","213.50","1508.50","10","722","2","5","3","0.17","0.10","0.40","0.40","0.80","4","17-25","Single With No Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Moderate Sessions","Frequent Traveler","Mid-Range","Luxury","","","","","","","","",""
"217114","20","O","true","true","usa","long beach","LGB","33.818","-118.151","2022-06-17","291","","","","3716.20","11","717","1","2","4","0.05","0.15","0.18","0.09","0.27","2","17-25","Married With Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Moderate Sessions","Occasional Traveler","Unknown","Luxury","","","","","","","","",""
"217136","39","F","false","true","usa","little rock","LIT","34.729","-92.224","2022-06-17","323","4","2","236.50","4262.90","10","812","1","3","1","0.18","","0.30","0.30","0.60","3","36-50","Single With Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Moderate Sessions","Frequent Traveler","Mid-Range","Luxury","2","2","2","1","659","539.57","1198.57","7","3095.34"
"220725","41","F","false","false","usa","stockton","SCK","37.894","-121.239","2022-06-20","550","15","4","125.00","513.16","13","1230","2","3","3","0.15","0.05","0.54","0.38","0.92","7","36-50","Single With No Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Long Sessions","Frequent Traveler","Mid-Range","Mid-Range","3","6","2","3","962","1533.42","2495.42","15","9384.23"
"224996","43","F","false","true","canada","halifax","YHZ","44.881","-63.509","2022-06-23","317","1","1","231.00","2444.16","10","807","1","1","3","","0.10","0.40","0.20","0.60","4","36-50","Single With Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Moderate Sessions","Frequent Traveler","Mid-Range","Luxury","2","4","1","2","231","897.61","1128.61","16","4976.26"
"226367","44","F","false","false","usa","washington","IAD","38.944","-77.456","2022-06-25","125","5","4","253.00","1345.75","9","103","0","1","0","0.05","","0.44","0.33","0.78","4","36-50","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Luxury","4","8","3","7","1864","5377.4010","7241.4010","189","14263.92"
"228195","27","F","false","true","usa","los angeles","LAX","33.942","-118.408","2022-06-26","241","","","","638.32","11","713","1","2","1","0.20","","0.18","0.09","0.27","2","26-35","Single With Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Moderate Sessions","Occasional Traveler","Unknown","Mid-Range","","","","","","","","",""
"228872","35","M","false","false","usa","san antonio","RND","29.529","-98.279","2022-06-27","241","20","7","87.75","326.46","11","163","0","2","0","0.33","","0.27","0.36","0.64","3","26-35","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Budget","Mid-Range","4","6","4","6","2388","979.37","3367.37","18","4691.07"
"229009","18","F","false","false","usa","stockton","SCK","37.894","-121.239","2022-06-27","264","3","2","149.50","892.12","10","805","2","3","2","0.30","","0.60","0.40","1.00","6","17-25","Single With No Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Moderate Sessions","Frequent Traveler","Mid-Range","Mid-Range","2","4","2","2","474","1061.63","1535.63","17","6057.46"
"229108","26","F","false","false","usa","burlington","BTV","44.472","-73.153","2022-06-27","330","","","","358.73","9","907","1","3","3","0.20","0.10","0.33","0.11","0.44","3","26-35","Single With No Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Moderate Sessions","Occasional Traveler","Unknown","Mid-Range","1","2","0","1","","198.98","","169","1196.29"
"229330","48","F","true","false","usa","colorado springs","COS","38.806","-104.7","2022-06-27","159","11","8","176.00","418.88","11","107","0","0","1","","0.10","0.45","0.45","0.91","5","36-50","Married With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","5","10","5","8","3693","2094.39","5787.39","34","7721.80"
"232647","18","F","false","false","usa","birmingham","BHM","33.563","-86.753","2022-06-30","127","27","3","234.33","1566.13","10","148","1","3","1","0.18","","0.30","0.30","0.60","3","17-25","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Luxury","2","2","1","1","2343","237.1","2580.1","7","1436.75"
"249521","60","F","true","true","canada","ottawa","YOW","45.323","-75.669","2022-07-15","225","26","5","169.80","917.02","11","152","0","1","3","0.20","0.13","0.36","0.45","0.82","4","50+","Married With Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","5","8","5","5","5940.4","3668.07","9608.47","117","13067.20"
"252835","38","F","false","true","usa","chicago","ORD","41.979","-87.904","2022-07-18","346","21","9","133.50","281.98","14","220","1","2","2","0.30","0.05","0.71","0.57","1.29","9","36-50","Single With Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","8","15","6","9","2902","2659.255","5561.255","61","15125.28"
"258451","23","F","false","false","usa","miami","OPF","25.907","-80.278","2022-07-22","220","36","3","218.67","","12","180","1","3","1","0.15","","0.08","0.25","0.33","0","17-25","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Occasional Traveler","Mid-Range","Unknown","1","0","1","","3000","","","",""
"264470","46","F","false","true","usa","bakersfield","BFL","35.433","-119.057","2022-07-27","129","9","2","200.00","436.51","11","88","0","2","1","0.10","0.10","0.18","0.18","0.36","2","36-50","Single With Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Occasional Traveler","Mid-Range","Mid-Range","2","4","2","2","2127","835.2175","2962.2175","16","4783.27"
"276512","42","F","true","true","usa","austin","AUS","30.194","-97.67","2022-08-06","169","1","1","100.00","395.69","12","105","0","3","4","0.12","0.16","0.08","0.08","0.17","1","36-50","Married With Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Short Sessions","Infrequent Traveler","Budget","Mid-Range","1","2","1","1","100","395.69","495.69","10","2409.25"
"281952","37","F","false","false","usa","louisville","LOU","38.228","-85.664","2022-08-11","221","13","4","161.25","760.76","11","150","0","0","1","","0.15","0.45","0.36","0.82","5","36-50","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","5","10","4","5","2949.30","3803.81","6753.11","60","22571.85"
"283325","51","F","true","false","usa","dallas","DAL","32.847","-96.852","2022-08-12","194","9","6","222.80","348.32","13","111","0","4","2","0.11","0.08","0.31","0.38","0.69","4","50+","Married With No Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","5","8","5","4","3277","1347.953","4624.953","26","8297.52"
"290123","41","F","true","false","usa","houston","HOU","29.645","-95.279","2022-08-18","262","18","11","272.57","636.40","13","150","0","0","0","","","0.62","0.54","1.15","7","36-50","Married With No Children","High Activity","Low Cancellation","Non-Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","8","15","7","12","6009","5091.23","11100.23","50","19442.21"
"297546","51","F","true","false","usa","new york","JFK","40.64","-73.779","2022-08-24","287","39","9","122.14","406.13","12","178","0","1","1","0.10","0.05","0.50","0.58","1.08","5","50+","Married With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","8","11","7","8","6176.00","2436.76","8612.76","33","11732.87"
"298253","47","F","true","true","usa","los angeles","LAX","33.942","-118.408","2022-08-24","156","5","1","64.00","539.30","12","97","0","3","1","0.30","0.15","0.25","0.08","0.33","3","36-50","Married With Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Occasional Traveler","Budget","Mid-Range","3","6","1","3","320","1450.7475","1770.7475","20","9078.56"
"299476","39","F","true","false","usa","atlanta","ATL","33.64","-84.427","2022-08-25","507","13","4","364.75","1052.21","13","729","1","3","4","0.20","0.12","0.31","0.31","0.62","4","36-50","Married With No Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Moderate Sessions","Frequent Traveler","Luxury","Luxury","2","4","2","3","11391","3070.50","14461.50","63","10145.66"
"306165","21","F","false","false","usa","cleveland","CLE","41.412","-81.85","2022-08-31","138","","","","","11","94","0","1","1","0.10","0.05","0.00","0.00","0.00","0","17-25","Single With No Children","High Activity","No Flights Booked","Occasional Discount User","No Bookings","Short Sessions","No Bookings","Unknown","Unknown","","","","","","","","",""
"306819","60","F","true","true","usa","new york","JFK","40.64","-73.779","2022-09-01","358","3","3","298.67","90.05","11","792","1","3","2","0.10","0.05","0.27","0.27","0.55","3","50+","Married With Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Moderate Sessions","Frequent Traveler","Mid-Range","Budget","1","2","1","1","370","50.16","420.16","4","293.18"
"312488","31","M","true","false","usa","new york","JFK","40.64","-73.779","2022-09-05","140","4","3","181.33","600.93","11","95","0","1","1","0.25","0.20","0.27","0.27","0.55","3","26-35","Married With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","3","6","3","3","673","1802.79","2475.79","21","10106.64"
"313724","52","F","false","false","usa","tulsa","TUL","36.198","-95.888","2022-09-06","403","34","10","200.50","378.15","10","927","1","2","1","0.10","","0.70","0.80","1.50","7","50+","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Moderate Sessions","Frequent Traveler","Mid-Range","Mid-Range","6","10","6","6","6747","1850.384","8597.384","39","9221.73"
"316527","42","F","true","true","canada","winnipeg","YWG","49.91","-97.234","2022-09-08","188","12","5","322.75","434.97","11","128","0","2","1","0.18","0.05","0.36","0.36","0.73","4","36-50","Married With Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Luxury","Mid-Range","4","8","4","5","5658.30","1739.89","7398.19","29","7762.72"
"317688","41","F","false","true","usa","indianapolis","IND","39.717","-86.294","2022-09-09","184","9","6","149.60","348.58","12","114","0","2","2","0.25","0.08","0.50","0.42","0.92","6","36-50","Single With Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","6","12","5","7","1622.90","2091.45","3714.35","43","9284.15"
"322867","46","F","false","false","usa","mobile","BFM","30.626","-88.068","2022-09-14","139","55","3","156.00","371.10","11","94","0","2","2","0.13","0.10","0.18","0.27","0.45","2","36-50","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Occasional Traveler","Mid-Range","Mid-Range","3","4","3","2","7766","742.19","8508.19","16","4289.80"
"324191","40","F","false","false","usa","san diego","SAN","32.733","-117.189","2022-09-15","196","15","5","287.00","323.37","11","132","0","3","1","0.12","0.15","0.36","0.36","0.73","4","36-50","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","4","8","4","5","3716","1293.48","5009.48","30","7815.14"
"328590","56","F","false","false","usa","san diego","NZY","32.699","-117.215","2022-09-18","438","10","5","156.33","779.64","11","826","1","2","3","0.10","0.15","0.55","0.36","0.91","6","50+","Single With No Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Moderate Sessions","Frequent Traveler","Mid-Range","Mid-Range","4","8","3","6","2755.25","3225.19","5980.44","30","12470.38"
"330764","39","F","false","false","usa","detroit","DET","42.409","-83.01","2022-09-20","423","21","4","124.75","296.64","11","805","1","3","3","0.13","0.08","0.27","0.45","0.73","3","36-50","Single With No Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Moderate Sessions","Frequent Traveler","Mid-Range","Mid-Range","4","2","4","1","2534","138.87","2672.87","11","782.98"
"330893","43","F","true","true","usa","oklahoma city","OKC","35.393","-97.601","2022-09-20","171","6","3","138.00","287.20","11","116","0","0","2","","0.18","0.27","0.27","0.55","3","36-50","Married With Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","3","6","3","3","750","861.61","1611.61","16","4810.06"
"331039","45","F","true","true","canada","london","YXU","43.036","-81.154","2022-09-20","249","17","5","217.67","1572.24","11","478","1","2","3","0.10","0.08","0.27","0.27","0.55","3","36-50","Married With Children","High Activity","Low Cancellation","Frequent Discount User","Both Flight and Hotel","Moderate Sessions","Frequent Traveler","Mid-Range","Luxury","1","2","1","1","235","134.97","369.97","7","655.95"
"334787","53","F","false","false","usa","minneapolis","MSP","44.88","-93.217","2022-09-23","199","8","7","186.40","388.04","11","134","0","3","1","0.07","0.15","0.45","0.45","0.91","5","50+","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","5","10","5","7","1459","1843.9365","3302.9365","30","7583.74"
"337227","35","F","true","false","usa","santa ana","SNA","33.676","-117.868","2022-09-25","116","10","1","47.00","44.78","10","86","0","0","1","","0.05","0.10","0.10","0.20","1","26-35","Married With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Infrequent Traveler","Budget","Budget","1","2","1","2","470","44.78","514.78","29","124.31"
"338086","40","F","false","true","usa","washington","IAD","38.944","-77.456","2022-09-25","197","6","7","154.75","849.74","12","123","0","1","1","0.30","0.20","0.33","0.33","0.67","4","36-50","Single With Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","4","8","4","7","1350.0","3398.94","4748.94","29","9341.82"
"340166","51","M","true","true","usa","san francisco","SFO","37.619","-122.375","2022-09-27","101","2","1","237.00","","11","68","0","2","1","0.23","0.10","0.00","0.09","0.09","0","50+","Married With Children","High Activity","Low Cancellation","Occasional Discount User","Hotel Only","Short Sessions","Infrequent Traveler","Mid-Range","Unknown","1","0","1","","474","","","",""
"343928","65","F","true","false","usa","el paso","BIF","31.849","-106.38","2022-09-30","161","13","3","162.33","1505.61","10","119","0","2","1","0.30","0.10","0.40","0.30","0.70","4","50+","Married With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Luxury","4","8","3","6","2431","5000.57","7431.57","405","24277.56"
"347778","50","F","false","false","usa","las vegas","LSV","36.236","-115.034","2022-10-03","298","19","12","216.88","768.88","13","171","0","3","1","0.13","0.10","0.62","0.62","1.23","8","36-50","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","9","16","8","11","9612.0","6087.451","15699.451","44","23982.84"
"348817","29","F","false","false","canada","calgary","YYC","51.114","-114.02","2022-10-04","183","14","6","235.67","440.00","10","135","0","1","1","0.05","0.15","0.40","0.60","1.00","4","26-35","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","6","8","6","4","3450.45","1759.98","5210.43","25","9628.28"
"348863","67","F","true","false","usa","san antonio","SKF","29.384","-98.581","2022-10-04","119","","","","","11","80","0","0","3","","0.07","0.00","0.00","0.00","0","50+","Married With No Children","High Activity","No Flights Booked","Occasional Discount User","No Bookings","Short Sessions","No Bookings","Unknown","Unknown","","","","","","","","",""
"349132","49","F","false","false","usa","cincinnati","CVG","39.046","-84.662","2022-10-04","166","20","7","203.20","397.28","11","112","0","2","1","0.18","0.10","0.27","0.45","0.73","3","36-50","Single With No Children","High Activity","Low Cancellation","Occasional Discount User","Both Flight and Hotel","Short Sessions","Frequent Traveler","Mid-Range","Mid-Range","5","6","5","5","4811.1","1121.2145","5932.3145","18","5136.68"
